Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
371,1965,1965-05-24T00:00:00,,12077,,,62.5,3,,,
372,1965,1965-05-24T00:00:00,,12078,,,62.5,3,,,
373,1965,1965-05-24T00:00:00,,12079,,,62.5,3,,,
374,1965,1965-05-24T00:00:00,,12080,,,62.5,3,,,
375,1965,1965-05-24T00:00:00,,12081,,,62.5,3,,,
376,1965,1965-05-24T00:00:00,,12082,,,62.5,3,,,
377,1965,1965-05-24T00:00:00,,12083,,,62.5,3,,,
378,1965,1965-05-24T00:00:00,,12084,,,62.5,3,,,
379,1965,1965-05-24T00:00:00,,12085,,,62.5,3,,,
380,1965,1965-05-24T00:00:00,,12086,,,62.5,3,,,
381,1965,1965-05-24T00:00:00,,12087,,,62.5,3,,,
382,1965,1965-05-24T00:00:00,,12088,,,62.5,3,,,
383,1965,1965-05-24T00:00:00,,12089,,,62.5,3,,,
384,1965,1965-05-24T00:00:00,,12090,,,62.5,3,,,
385,1965,1965-05-24T00:00:00,,12091,,,62.5,3,,,
386,1965,1965-05-24T00:00:00,,12092,,,62.5,3,,,
387,1965,1965-05-24T00:00:00,,12093,,,62.5,3,,,
388,1965,1965-05-24T00:00:00,,12094,,,62.5,3,,,
389,1965,1965-05-24T00:00:00,,12095,,,62.5,3,,,
